domain,xcoord,ycoord
Gulf Rifted Margin,-113.827687314526102,29.568550235404661
Gulf Rifted Margin,-113.780275717924098,29.566589418095830
Gulf Rifted Margin,-113.757452198742200,29.585901626634350
Gulf Rifted Margin,-113.720583436986900,29.619259077746339
Gulf Rifted Margin,-113.703026883769994,29.661394805466749
Gulf Rifted Margin,-113.681959019909797,29.724598397047359
Gulf Rifted Margin,-113.680203364588095,29.782535022662930
Gulf Rifted Margin,-113.669669432657997,29.880851720677221
Gulf Rifted Margin,-113.673180743301401,29.930010069684361
Gulf Rifted Margin,-113.660891156049601,30.030082423020339
Gulf Rifted Margin,-113.664402466693005,30.142444363608099
Gulf Rifted Margin,-113.678447709266507,30.240761061622390
Gulf Rifted Margin,-113.708293849735099,30.275874168056060
Gulf Rifted Margin,-113.766230475350596,30.368923900105301
Gulf Rifted Margin,-113.846990620148105,30.497086738588209
Gulf Rifted Margin,-113.897904624476894,30.581358194029029
Gulf Rifted Margin,-113.924239454302196,30.623493921749439
Gulf Rifted Margin,-113.940040352197300,30.695475789938481
Gulf Rifted Margin,-113.964619526700901,30.783258556022670
Gulf Rifted Margin,-113.973397803309297,30.820127317778020
Gulf Rifted Margin,-113.975153458630999,30.862263045498430
Gulf Rifted Margin,-113.987443045882799,30.895620496610430
Gulf Rifted Margin,-113.992710011847805,30.969358020121138
Gulf Rifted Margin,-113.999732633134599,31.050118164918590
Gulf Rifted Margin,-114.012022220386399,31.165991416149719
Gulf Rifted Margin,-114.017289186351405,31.225683697086971
Gulf Rifted Margin,-114.052402292785104,31.252018526912231
Gulf Rifted Margin,-114.099804986470502,31.290642943989269
Gulf Rifted Margin,-114.170031199337899,31.345068258961469
Gulf Rifted Margin,-114.238501756883593,31.411783161185451
Gulf Rifted Margin,-114.289415761212396,31.457430199549229
Gulf Rifted Margin,-114.350863697471297,31.515366825164790
Gulf Rifted Margin,-114.385976803904995,31.536434689024990
Gulf Rifted Margin,-114.403734317484904,31.553086018282720
Gulf Rifted Margin,-114.452294378788196,31.467858155587169
Gulf Rifted Margin,-114.481034006906498,31.407405834372881
Gulf Rifted Margin,-114.508782613365497,31.359836794728849
Gulf Rifted Margin,-114.515719764980204,31.337043296566080
Gulf Rifted Margin,-114.515719764980204,31.257761563826030
Gulf Rifted Margin,-114.515719764980204,31.188390047678482
Gulf Rifted Margin,-114.514728743321001,31.095234011708921
Gulf Rifted Margin,-114.500854440091501,31.040727820450140
Gulf Rifted Margin,-114.483016050224904,30.964419152687839
Gulf Rifted Margin,-114.465177660358407,30.894056614881041
Gulf Rifted Margin,-114.445357227173403,30.814774882140991
Gulf Rifted Margin,-114.415822944373602,30.698987100581849
Gulf Rifted Margin,-114.405289012443504,30.625249577071131
Gulf Rifted Margin,-114.400022046478497,30.539222466308630
Gulf Rifted Margin,-114.387732459226697,30.440905768294339
Gulf Rifted Margin,-114.375442871974897,30.363656934140248
Gulf Rifted Margin,-114.378954182618301,30.307475963846372
Gulf Rifted Margin,-114.389488114548399,30.235494095657341
Gulf Rifted Margin,-114.405289012443504,30.167023538111671
Gulf Rifted Margin,-114.417578599695304,30.119620844426208
Gulf Rifted Margin,-114.412466788041201,30.114965444526892
Gulf Rifted Margin,-114.417472743141701,30.116393652475669
Gulf Rifted Margin,-114.660637782024395,30.206873666943661
Gulf Rifted Margin,-114.802012804630607,30.257768675081909
Gulf Rifted Margin,-115.057813307855398,30.423022353253231
Gulf Rifted Margin,-115.136413996607203,30.495250013187292
Gulf Rifted Margin,-115.174652169513394,30.635456647176952
Gulf Rifted Margin,-115.178900855391902,30.745922480017281
Gulf Rifted Margin,-115.221387714176601,30.822398825829829
Gulf Rifted Margin,-115.240506800629802,30.975351517454911
Gulf Rifted Margin,-115.297864059989195,31.041206148571259
Gulf Rifted Margin,-115.365843034044801,31.066698263842110
Gulf Rifted Margin,-115.432170876699004,31.171403338895129
Gulf Rifted Margin,-115.431080752873797,31.220458911028039
Gulf Rifted Margin,-115.429990629048604,31.289136712014098
Gulf Rifted Margin,-115.410368400195495,31.339282407972181
Gulf Rifted Margin,-115.415819019321304,31.410140456608602
Gulf Rifted Margin,-115.426720257573095,31.451565161965281
Gulf Rifted Margin,-115.457243724677994,31.518062715300989
Gulf Rifted Margin,-115.548814125992806,31.617263983391979
Gulf Rifted Margin,-115.549904249817899,31.677220793776641
Gulf Rifted Margin,-115.610951184027797,31.770971442741750
Gulf Rifted Margin,-115.608770936377397,31.834198624601939
Gulf Rifted Margin,-115.645835146433399,31.908327044713879
Gulf Rifted Margin,-115.690580441076506,32.001807780560448
Gulf Rifted Margin,-115.699379895738204,32.034298074696117
Gulf Rifted Margin,-115.708856231527804,32.084387278155269
Gulf Rifted Margin,-115.733223952129606,32.130415194847473
Gulf Rifted Margin,-115.755561029347803,32.179150636050970
Gulf Rifted Margin,-115.783313155588701,32.231947364021423
Gulf Rifted Margin,-115.816480330852201,32.307081169210150
Gulf Rifted Margin,-115.817157211980003,32.389660666804971
Gulf Rifted Margin,-115.814449687468695,32.444488038158909
Gulf Rifted Margin,-115.859123841905301,32.514883675452850
Gulf Rifted Margin,-115.953210318673200,32.573095452445934
Gulf Rifted Margin,-116.044589270929706,32.705764153499899
