name,area,aabb,zone,zabb,section,sabb,fault,fabb
MJVA-ECSZ-1992_Barstow_Trend-CFM5,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers rupture,1992,Landers-Barstow trend,LNBT
MJVA-ECSZ-1992_Landers_cross_fault_North_I-CFM5,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers cross faults,1992,Landers cross fault-north-I,LCF1
MJVA-ECSZ-1992_Landers_cross_fault_North_II-CFM5,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers cross faults,1992,Landers cross fault-north-II,LCF2
MJVA-ECSZ-1992_Landers_rupture_detailed_splays-CFM3,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers rupture,1992,Landers rupture detailed,LRDD
MJVA-ECSZ-1999-Hector_Mine_rupture_dipping-CFM2,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Hector Mine rupture,1999,Hector Mine rupture,HCMR
MJVA-GLPS-GLDS-Goldstone_Lake_fault-CFM5,Mojave Fault Area,MJVA,Goldstone Lake-Paradise fault system,GLPS,Goldstone Lake,GLDS,Goldstone Lake fault,GLSF
MJVA-GLPS-PRDS-Paradise_fault-CFM5,Mojave Fault Area,MJVA,Goldstone Lake-Paradise fault system,GLPS,Paradise,PRDS,Paradise fault,PRDF
MJVA-HPFZ-GVHS-Gravel_Hills_fault_nw-CFM5,Mojave Fault Area,MJVA,Harper fault zone,HPFZ,Gravel Hills,GVHS,Gravel Hills fault-nw,GVHN
MJVA-HPFZ-GVHS-Harper_Valley_fault-CFM5,Mojave Fault Area,MJVA,Harper fault zone,HPFZ,Gravel Hills,GVHS,Harper Valley fault,HPVF
MJVA-HPFZ-HPVS-Harper_Valley_Mt_General_fault-CFM5,Mojave Fault Area,MJVA,Harper fault zone,HPFZ,Harper Valley,HPVS,Harper Valley – Mt_General fault,HMGF
MJVA-HPFZ-MULT-Gravel_Hills_Harper_Lake_fault-CFM5,Mojave Fault Area,MJVA,Harper fault zone,HPFZ,Gravel Hills-Harper Lake,MULT,Gravel Hills-Harper Lake fault,GHLF
MJVA-HSLZ-MULT-Helendale_South_Lockhart_fault-CFM5,Mojave Fault Area,MJVA,Helendale-South Lockhart fault zone,HSLZ,Multiple sections,MULT,Helendale-South Lockhart fault,HSLF
MJVA-HSLZ-SBMT-Pipes_Canyon_fault-CFM5,Mojave Fault Area,MJVA,Helendale-South Lockhart fault zone,HSLZ,Eastern San Bernardino Mtns,SBMT,Pipes Canyon,PPCF
MJVA-HSLZ-SBMT-Pipes_Canyon_fault_north_extension-CFM5,Mojave Fault Area,MJVA,Helendale-South Lockhart fault zone,HSLZ,Eastern San Bernardino Mtns,SBMT,Pipes Canyon-north-extension,PPCE
