name,Alternative,source author,CFM Version,model description,Descriptor,Strike,Dip,Area,Exposure,Slip Sense,References,Reference Check,ID comments,USGS ID
MJVA-ECSZ-1992_Landers_rupture_detailed_splays-CFM3,1,HRVD,CFM3,,,,,1559380000,,,,,,
MJVA-ECSZ-1999-Hector_Mine_rupture_dipping-CFM2,1,HRVD,CFM2,,,,,899812000,surface,,,,,
MJVA-GLPS-GLDS-Goldstone_Lake_fault-CFM5,1,UCSB,CFM5,,,140.457,88.3385,577197000,surface,,,,,355
MJVA-GLPS-PRDS-Paradise_fault-CFM5,1,UCSB,CFM5,,,171.055,85.2018,436345000,surface,,,,,missing
MJVA-HPFZ-GVHS-Gravel_Hills_fault_nw-CFM5,1,CMDT,CFM5,nw splay,,300.2746,89.6876,101814000,,,,,,112
MJVA-HPFZ-GVHS-Harper_Valley_fault-CFM5,1,CMDT,CFM5,,,317.9516,87.2859,78533100,,,,,,112
MJVA-HPFZ-HPVS-Harper_Valley_Mt_General_fault-CFM5,1,CMDT,CFM5,,,137.926,90,373307000,,,,,Proposed 343a+b,343
MJVA-HPFZ-MULT-Gravel_Hills_Harper_Lake_fault-CFM5,1,UCSB,CFM5,,,311.2206,90,685668000,surface,rlss,,,,112
MJVA-HSLZ-MULT-Helendale_South_Lockhart_fault-CFM5,1,UCSB,CFM5,,,,,1803550000,surface,rlss,,,,110a-c
MJVA-HSLZ-SBMT-Pipes_Canyon_fault-CFM5,1,UCSB,CFM5,,,145.121,85.3993,267889000,,,,,proposed 320b,320
MJVA-HSLZ-SBMT-Pipes_Canyon_fault_north_extension-CFM5,1,UCSB,CFM5,,,124.965,86.1887,129412000,,,,,proposed 320a,320
MJVA-HSLZ-SBMT-Southern_Helendale_fault-CFM5,1,UCSB,CFM5,,,,,409358000,,,,,,110c
MJVA-JVFZ-MULT-Johnson_Valley_fault-CFM5,1,CMDT,CFM5,,,55.525,90,842460000,surface,rlss,,,,115a-b
MJVA-JVFZ-SJVS-Kickapoo_fault-CFM3,1,HRVD,CFM3,,,7.32740000000001,89.9369,89335900,,,,,,115b
MJVA-JVHZ-HMSV-Homestead_Valley_fault-CFM3,1,HRVD,CFM3,,,,,,,,,,,116
MJVA-LCLZ-CLGL-Cleghorn_Lake_fault-CFM5,1,CMDT,CFM5,in CFM5-Mojave Gocad project,,154.018,84.7977,234723000,,,,,,349
MJVA-LCLZ-LDLW-Ludlow_fault-CFM5,1,UCSB,CFM5,,,329.1035,84.511,794551000,surface,rlss,,,,346
MJVA-LLBM-MULT-Lavic_Lake_North_West_Bullion_fault-CFM3,1,HRVD,CFM3,incl. North West Bullion,,333.4602,83.1019,644865000,,,,,,351+122d
MJVA-LWLZ-MULT-Lenwood_Lockhart_fault-CFM5,1,UCSB,CFM5,,,132.413,76.87,2794490000,surface,orlr,,,,111a-b
MJVA-NEMV-GRLS-Garlic_Spring_fault-CFM5,1,UCSB,CFM5,,,132.524,88.2656,222879000,surface,rlss,,,,358
MJVA-NEMV-RDPS-Red_Pass_fault-CFM5,1,UCSB,CFM5,,,140.118,83.2762,254723000,surface,rlss,,,,360
MJVA-PBMZ-EBLS-East_Bullion_Valley_Mountain_fault-CFM5,1,UCSB,CFM5,,,,,644957000,surface,rlss,,,,122c
MJVA-PBMZ-MSQL-Mesquite_Lake_fault-CFM5,1,CMDT,CFM5,,,325.5212,87.8137,545204000,surface,rlss,,,,123
MJVA-PBMZ-MULT-Pisgah_Bullion_West_Bullion_fault-CFM5,1,CMDT,CFM5,,,,,1468290000,surface,rlss,,,,122a-d
MJVA-PBMZ-WBLS-West_Bullion_fault-CFM5,1,CMDT,CFM5,,,326.543,85.7205,636457000,surface,rlss,,,,122d
OCBA-CBFZ-EAST-Coronado_Bank_east_splay-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,337.3213,37.8757,105704000,surface,rlss,"Sorlien et al., 2015",,,131b
OCBA-CBFZ-NCBF-Coronado_Bank_fault_north-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,333.2688,59.7009,26468300,surface,rlss,"Sorlien et al., 2015",,,131a
OCBA-CBFZ-SCBF-Coronado_Bank_fault_south-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,342.1892,17.9667,160278000,surface,rlss,"Sorlien et al., 2015",,,131b
OCBA-CBFZ-WEST-Coronado_Bank_west_splay-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,339.7369,26.5478,35694600,surface,rlss,"Sorlien et al., 2015",,,131b
OCBA-CBKD-MULT-Coronado_Bank_detachment_upper-SRLN-CFM5,1,UCSB,CFM5,,,324.5314,10.4495,509268000,,,"Sorlien et al., 2015",,,missing
OCBA-CRSF-RDNC-Redondo_Canyon_fault-ZION-CFM2,2,HRVD,CFM2,Zioni model,ZION,81.588,89.9678,169319000,,orlr,,,,130
OCBA-DSCS-EAST-Descanso_fault_east_splay-SRLN-CFM5,1,UCSB,CFM5,east splay - Sorlien model,SRLN,152.503,50.5758,27324300,,,"Sorlien et al., 2015",,,missing
OCBA-DSCS-MAIN-Descanso_fault-SRLN-CFM5,1,UCSB,CFM5,main - Sorlien model,SRLN,152.228,40.3175,266086000,,,"Sorlien et al., 2015",,,missing
OCBA-DSCS-NRTH-Descanso_fault_A-SRLN-CFM5,1,UCSB,CFM5,,,178.669,31.8243,27473400,,,"Sorlien et al., 2015",,,missing
OCBA-DSCS-NRTH-Descanso_fault_B-SRLN-CFM5,1,UCSB,CFM5,,,184.174,37.4664,55268200,,,"Sorlien et al., 2015",,,missing
OCBA-DSCS-NRTH-Descanso_fault_C-SRLN-CFM5,1,UCSB,CFM5,,,162.726,55.0997,12502200,,,"Sorlien et al., 2015",,,missing
