CFM7.0 Alternative Fault Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,
WTRA-NCVS-PPTV-Pitas_Point_fault_east-ALT6,Western Transverse Ranges Area,WTRA,North Channel-Ventura fault system,NCVS,Pitas Point-Ventura,PPTV,Pitas Point fault-east,UCSB,CFM6,276,50,1227.57,blind,ollr,propose 180a,180,CFM5 model; revised steep model-east,"Sorlien et al., 2014; Sorlien and Nicholson, 2015; Nicholson et al., 2014",,,,,
WTRA-NCVS-PPTV-Pitas_Point_Ventura_fault_link-ALT6,Western Transverse Ranges Area,WTRA,North Channel-Ventura fault system,NCVS,Pitas Point-Ventura,PPTV,Pitas Point-Ventura fault link,UCSB,CFM6,282,46,284.8,blind,ollr,propose 180b,180,CFM5 model; link to connect onshore-offshore models,"Hubbard et al., 2014 (BSSA); Sorlien et al., 2014, 2015; Sorlien and Nicholson, 2015; Nicholson et al., 2016, 2017; Plesch et al., 2016",,,,,
WTRA-NCVS-RDMT-Red_Mountain_Rincon_fault-ALT6,Western Transverse Ranges Area,WTRA,North Channel-Ventura fault system,NCVS,Red Mountain,RDMT,Red Mountain-Rincon fault,HRVD,CFM6,278,47,302.49,surface,ollr,,90,CFM5 model; Hubbard model,"Hubbard et al., 2014",,,,,
WTRA-NCVS-VNTB-Southern_San_Cayetano_fault_lowdip-ALT6,Western Transverse Ranges Area,WTRA,North Channel-Ventura fault system,NCVS,Ventura basin,VNTB,Southern San Cayetano fault,HGHS,CFM6,255,15,171.18,blind,r,,,CFM5 model; low-dip; range-front 3D fault,"Hughes et al., 2019 (EPSL), 2020 (JGR); Nicholson et al., 2019",,,,,
WTRA-NCVS-VNTB-Southern_San_Cayetano_fault_steep-ALT6,Western Transverse Ranges Area,WTRA,North Channel-Ventura fault system,NCVS,Ventura basin,VNTB,Southern San Cayetano fault,HRVD,CFM6,250,54,579.66,blind,r,,missing,CFM5 model; steep w/o flat-Hubbard-Plesch,"Hubbard et al., 2014 (BSSA); Plesch et al., 2014",,,,,
WTRA-NCVS-VNTB-Ventura_fault_steep-ALT6,Western Transverse Ranges Area,WTRA,North Channel-Ventura fault system,NCVS,Ventura basin,VNTB,Ventura fault,HRVD,CFM6,270,41,201.77,blind,ollr,,91,CFM5 model; revised steep model; relocated seismicity,"Hubbard et al., 2014 (BSSA); Hauksson et al., 2012+updates; Nicholson et al., 2016, 2017; Plesch et al., 2016",,,,,
WTRA-ORFZ-OFFS-Mid_Channel_fault-ALT6,Western Transverse Ranges Area,WTRA,Oak Ridge fault zone,ORFZ,Offshore-Mid-Channel trend,OFFS,Mid-Channel fault,UCSB,CFM6,283,36,324.81,blind,r,propose 94a,missing,CFM5 model; mapped by Sorlien; also known as Montalvo fault near coast,"Shaw and Suppe, 1994 (GSA); Sorlien et al., 2014; Sorlien and Nicholson, 2015; Nicholson et al., 2014",,,,,
WTRA-SCFZ-MULT-San_Cayetano_fault_60dip-ALT6,Western Transverse Ranges Area,WTRA,San Cayetano fault zone,SCFZ,Multiple sections,MULT,San Cayetano fault,CMDT,CFM6,96,55,841.48,surface,r,,95,CFM5 model; steeper 60-dip CFM5 model; Qfaults + relocated seismicity,,,,,,
WTRA-SFFS-SMMT-Malibu_Coast_fault_east_steep-ALT6,Western Transverse Ranges Area,WTRA,Southern Frontal fault system,SFFS,Santa Monica Mountains,SMMT,Malibu Coast fault-east,UCSB,CFM6,273,80,514.89,surface,ollr,,99,CFM5 model; onshore (eastern) section,"Sorlien et al., 2003, 2006; Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,
WTRA-SFFS-SMMT-Santa_Monica_fault_steep-ALT6,Western Transverse Ranges Area,WTRA,Southern Frontal fault system,SFFS,Santa Monica Mountains,SMMT,Santa Monica fault,UCSB,CFM6,250,78,178.31,surface,ollr,,101,CFM5 model; Qfaults + relocated seismicity,"Sorlien et al., 2003, 2006; Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,
WTRA-SFNS-VRDM-Verdugo_fault_lowdip-ALT6,Western Transverse Ranges Area,WTRA,San Fernando fault system,SFNS,Verdugo Mountains,VRDM,Verdugo fault,UCSB,CFM6,126,57,389.43,surface,r,,"87a-b,87d",CFM5 model; 60 dip; Qfaults + relocated seismicity,"Bryant et al., 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,
WTRA-SSRZ-MULT-Simi_Santa_Rosa_fault_steep-ALT6,Western Transverse Ranges Area,WTRA,Simi-Santa Rosa fault zone,SSRZ,Multiple sections,MULT,Simi-Santa Rosa fault-listric,CMDT,CFM6,256,77,720.5,surface,ollr,,98a-c,CFM5 model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014",,,,,
WTRA-SYFZ-MULT-Santa_Ynez_fault_60dip-ALT6,Western Transverse Ranges Area,WTRA,Santa Ynez fault zone,SYFZ,Multiple sections,MULT,Santa Ynez fault,UCSB,CFM6,89,61,2505.55,surface,ollr,,"87a-b,87d",CFM5 model; 60 dip; Qfaults + relocated seismicity,"Bryant et al., 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,
