CFM7.0 Fault Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-OCNZ-HSNV-West_Huasna_fault-CFM5,Coast Ranges Fault Area,CRFA,Oceanic fault zone,OCNZ,Huasna Valley,HSNV,West Huasna fault,CMDT,CFM5,328,79,333.03,surface,orlr,,371,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-OCNZ-MULT-Oceanic_fault-CFM5,Coast Ranges Fault Area,CRFA,Oceanic fault zone,OCNZ,Multiple sections,MULT,Oceanic fault,CMDT,CFM5,314,64,579.2,surface,orlr,,352,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-OCNZ-SLRN-Oceanic_backthrust-CFM4,Coast Ranges Fault Area,CRFA,Oceanic fault zone,OCNZ,Santa Lucia Range-North,SLRN,Oceanic backthrust,HRVD,CFM4,124,42,353.32,blind,orlr,,missing,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-REHZ-EHSN-East_Huasna_fault-CFM4,Coast Ranges Fault Area,CRFA,Rinconada-East Huasna fault system,REHZ,East Huasna,EHSN,East Huasna fault,UCSB,CFM4,324,90,512.42,surface,rlss,,251,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-REHZ-MULT-Rinconada_fault-CFM4,Coast Ranges Fault Area,CRFA,Rinconada-East Huasna fault system,REHZ,Multiple sections,MULT,Rinconada fault,UCSB,CFM4,147,82,1086.48,surface,rlss,,63a-c,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-SCMZ-SCYM-South_Cuyama_fault-CFM3,Coast Ranges Fault Area,CRFA,South Cuyama-Ozena fault zone,SCMZ,South Cuyama,SCYM,South Cuyuma fault,HRVD,CFM3,117,36,471.2,surface,orlr,,252,,"Davis et al., 1988 (SEPM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-SJMZ-CHMN-Big_Spring_fault-CFM5,Coast Ranges Fault Area,CRFA,San Juan-Morales fault zone,SJMZ,Chimineas,CHMN,Big Spring fault,CMDT,CFM5,302,34,516.08,surface,orlr,,77,35 degree dip; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-SJMZ-MRLS-Morales_fault-CFM3,Coast Ranges Fault Area,CRFA,San Juan-Morales fault zone,SJMZ,Morales,MRLS,Morales fault,HRVD,CFM3,305,23,743.31,surface,orlr,,491,,"Davis et al., 1988 (SEPM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-SJMZ-MULT-San_Juan_fault-CFM5,Coast Ranges Fault Area,CRFA,San Juan-Morales fault zone,SJMZ,Multiple sections,MULT,San Juan fault,CMDT,CFM5,334,67,705.51,surface,orlr,,77,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-SLRS-LPNS-Little_Pine_fault-CFM5,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,Little Pine,LPNS,Little Pine fault,CMDT,CFM5,316,45,374.99,surface,orlr,,255,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-SLRS-MULT-San_Luis_Range_fault_system-CFM4,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,Multiple sections,MULT,San Luis Range fault system,HRVD,CFM4,131,53,907.68,surface,orlr,,82,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-SLRS-SHRL-Shoreline_fault-CFM4,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,Shoreline,SHRL,Shoreline fault,HRVD,CFM4,314,90,302.15,surface,orlr,,missing,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-SLRS-SLBS-San_Luis_Bay_fault-CFM4,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,San Luis Bay,SLBS,San Luis Bay fault,HRVD,CFM4,101,89,163.1,surface,orlr,,82,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-SLRS-SYNV-Santa_Ynez_Valley_blind_fault-CFM5,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,Santa Ynez Valley,SYNV,Santa Ynez Valley blind fault,CMDT,CFM5,304,75,480.01,blind,orlr,,missing,relocated seismicity,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA: EASTERN TRANSVERSE RANGES AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-BBFS-1992-Big_Bear_rupture-CFM6,Eastern Transverse Ranges Area,ETRA,Big Bear Fault system,BBFS,1992 Big Bear rupture,1992,Big Bear rupture,HRVD,CFM6,71,90,714.11,blind,llss,,missing,relocated seismicity,"Hauksson & Shearer 2005 (BSSA), Plesch et al. (2007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-BCFZ-MULT-Blue_Cut_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Blue Cut fault zone,BCFZ,Multiple sections,MULT,Blue Cut fault,UCSB,CFM5,87,89,984.45,surface,llss,,290,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-CHRC-STWS-Smoketree_Wash_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Chiriaco fault zone,CHRC,Smoketree Wash,STWS,Smoketree Wash fault,CMDT,CFM5,262,90,331.45,surface,ollr,,395,Vertical dip; historal precedent is Chiriaco fault,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-CLGZ-NCHS-Grass_Valley_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Cleghorn fault zone,CLGZ,Northern Cleghorn,NCHS,Grass Valley fault,UCSB,CFM5,82,76,178.84,surface,llss,,108b,Steep model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
