name,Source/Author,Last Update,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
OCBA-SMCS-SMTO-San_Onofre_fault_upper-ALT6,UCSB,CFM6,329,36,66.87,blind,orlr,,294b,CFM5 Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016"
OCBA-SPES-MULT-San_Pedro_Escarpment_Compton_connector-ALT6,UCSB,CFM6,120,11,428.86,blind,r,,,CFM5; combined updip extension and mid connector model,"Sorlien et al., 2013; Nicholson et al., 2020"
PNRA-ELSZ-WHIT-Whittier_fault-ALT6,UCSB,CFM6,299,77,678.61,surface,orlr,,126a,CFM4 model; Qfaults + relocated seismicity,"Hauksson et al., 2012+updates; Nicholson et al., 2014"
SAFS-SAFZ-CHLM-San_Andreas_fault-ALT6,UCSB,CFM6,143,88,669.57,surface,rlss,,1g,CFM4 model; from Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-COAV-East_Shoreline_fault-ALT6,HRVD,CFM5,312,60,258.63,surface,rlss,,,from Janecke et al. 2018 (Lithosphere) mapping. Includes dashed northern portion in Janecke paper,"Janecke et al., 2018 (Lithosphere)"
SAFS-SAFZ-COAV-Southern_San_Andreas_fault-ALT6,UCSB,CFM4,314,90,1043.59,surface,rlss,,1j,CFM4 model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012, 2014"
SAFS-SAFZ-CRRZ-San_Andreas_fault-ALT6,UCSB,CFM6,119,87,2235.47,surface,rlss,,1g,CFM4 model; from Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-MJVS-San_Andreas_fault-ALT6,UCSB,CFM6,296,90,1189.52,surface,rlss,,1h,CFM4 model; from Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-MULT-Banning_fault_strand-ALT6,CMDT,CFM6,294,72,1518.72,surface,rlss,,1 i-j,CFM4 model; from Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Hauksson et al., 2012; Seeber and Armbruster, 1994; Nicholson et al., 2010, 2012"
SAFS-SAFZ-MULT-Garnet_Hill_fault_strand-ALT6,UCSB,CFM6,292,62,968.52,blind,rlss,,1j,CFM4 model; steep fault with down dip splay; Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Hauksson et al., 2012; Nicholson et al., 2010, 2012, 2014"
SAFS-SAFZ-MULT-San_Andreas_fault_Fuis-ALT6,HRVD,CFM6,122,83,8254.65,surface,rlss,,1 g-j,CFM3 FUIS propeller model-shallow,"Fuis et al., 2012"
SAFS-SAFZ-SBMT-San_Andreas_fault-ALT6,UCSB,CFM6,119,90,1051.3,surface,rlss,,1i,CFM4 model; from Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SGPR-SGPS-San_Gorgonio_Pass_thrust-ALT6,CMDT,CFM6,280,20,88.2,surface,r,,250,CFM4 model; Qfaults,"Seeber and Armbruster, 1994; Bryant, 2005+updates; Nicholson et al., 2012"
SAFS-SGPR-SGPS-San_Gorgonio_Pass_thrust_NPS-ALT6,CRNA,CFM6,108,37,838.39,surface,r,,250,CFM5 Sara Carena North Palm Springs model,"Seeber and Armbruster, 1994; Carena et al., 2004"
SNFA-PMVZ-MULT-Panamint_Valley_fault_lowdip-ALT6,HRVD,CFM6,153,25,2129.75,surface,orln,,67a-d,CFM2 low dip model,"Burchfiel et al., 1987; Chavez-Perez et al., 1998; Gold et al., 2020; Hayman et al., 2003"
WTRA-NCVS-PPTV-Pitas_Point_fault_east-ALT6,UCSB,CFM6,276,50,1227.57,blind,ollr,propose 180a,180,CFM5 model; revised steep model-east,"Sorlien et al., 2014; Sorlien and Nicholson, 2015; Nicholson et al., 2014"
WTRA-NCVS-PPTV-Pitas_Point_Ventura_fault_link-ALT6,UCSB,CFM6,282,46,284.8,blind,ollr,propose 180b,180,CFM5 model; link to connect onshore-offshore models,"Hubbard et al., 2014 (BSSA); Sorlien et al., 2014, 2015; Sorlien and Nicholson, 2015; Nicholson et al., 2016, 2017; Plesch et al., 2016"
WTRA-NCVS-RDMT-Red_Mountain_Rincon_fault-ALT6,HRVD,CFM6,278,47,302.49,surface,ollr,,90,CFM5 model; Hubbard model,"Hubbard et al., 2014"
WTRA-NCVS-VNTB-Southern_San_Cayetano_fault_lowdip-ALT6,HGHS,CFM6,255,15,171.18,blind,r,,,CFM5 model; low-dip; range-front 3D fault,"Hughes et al., 2019 (EPSL), 2020 (JGR); Nicholson et al., 2019"
WTRA-NCVS-VNTB-Southern_San_Cayetano_fault_steep-ALT6,HRVD,CFM6,250,54,579.66,blind,r,,missing,CFM5 model; steep w/o flat-Hubbard-Plesch,"Hubbard et al., 2014 (BSSA); Plesch et al., 2014"
WTRA-NCVS-VNTB-Ventura_fault_steep-ALT6,HRVD,CFM6,270,41,201.77,blind,ollr,,91,CFM5 model; revised steep model; relocated seismicity,"Hubbard et al., 2014 (BSSA); Hauksson et al., 2012+updates; Nicholson et al., 2016, 2017; Plesch et al., 2016"
WTRA-ORFZ-OFFS-Mid_Channel_fault-ALT6,UCSB,CFM6,283,36,324.81,blind,r,propose 94a,missing,CFM5 model; mapped by Sorlien; also known as Montalvo fault near coast,"Shaw and Suppe, 1994 (GSA); Sorlien et al., 2014; Sorlien and Nicholson, 2015; Nicholson et al., 2014"
WTRA-SCFZ-MULT-San_Cayetano_fault_60dip-ALT6,CMDT,CFM6,96,55,841.48,surface,r,,95,CFM5 model; steeper 60-dip CFM5 model; Qfaults + relocated seismicity,
WTRA-SFFS-SMMT-Malibu_Coast_fault_east_steep-ALT6,UCSB,CFM6,273,80,514.89,surface,ollr,,99,CFM5 model; onshore (eastern) section,"Sorlien et al., 2003, 2006; Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
WTRA-SFFS-SMMT-Santa_Monica_fault_steep-ALT6,UCSB,CFM6,250,78,178.31,surface,ollr,,101,CFM5 model; Qfaults + relocated seismicity,"Sorlien et al., 2003, 2006; Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
WTRA-SFNS-VRDM-Verdugo_fault_lowdip-ALT6,UCSB,CFM6,126,57,389.43,surface,r,,"87a-b,87d",CFM5 model; 60 dip; Qfaults + relocated seismicity,"Bryant et al., 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013"
WTRA-SSRZ-MULT-Simi_Santa_Rosa_fault_steep-ALT6,CMDT,CFM6,256,77,720.5,surface,ollr,,98a-c,CFM5 model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014"
WTRA-SYFZ-MULT-Santa_Ynez_fault_60dip-ALT6,UCSB,CFM6,89,61,2505.55,surface,ollr,,"87a-b,87d",CFM5 model; 60 dip; Qfaults + relocated seismicity,"Bryant et al., 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013"
