CFM5.3 Fault Object Name,Num,Fault Area/Major Fault System,Code,Num,Fault Zone/Region,Code,Num,Fault Section,Code,Num,Fault Name,Code,Alternative,Source/Author,Last Update,Descriptor,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-CHFZ-Casa_Blanca_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,03,Crafton Hills fault zone,CHFZ,02,Casa Blanca fault,CSBF,01,UCSB,CFM5,,221,88,59.29,surface,llss,,336,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-CHFZ-Chicken_Hill_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,03,Crafton Hills fault zone,CHFZ,03,Chicken Hill fault,CCHF,01,UCSB,CFM5,,236,89,157.17,surface,llss,,336,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-CHFZ-Live_Oak_Canyon_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,03,Crafton Hills fault zone,CHFZ,04,Live Oak Canyon fault,LOCF,01,UCSB,CFM5,,272,84,224.33,surface,ollr,,336,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-CHFZ-Redlands_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,03,Crafton Hills fault zone,CHFZ,05,Redlands fault,RDLF,01,UCSB,CFM5,,252,87,70.69,surface,llss,,336,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-CHFZ-Reservoir_Canyon_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,03,Crafton Hills fault zone,CHFZ,06,Reservoir Canyon fault,RSCF,01,UCSB,CFM5,,221,88,151.97,surface,llss,,336,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-CHFZ-Western_Heights_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,03,Crafton Hills fault zone,CHFZ,07,Western Heights fault,WSHF,01,UCSB,CFM5,,234,87,173.99,surface,llss,,336,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SBRN-San_Bernardino_cross_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,05,San Bernardino,SBRN,01,San Bernardino cross fault,SBCF,01,UCSB,CFM5,,221,90,127.74,blind,llss,,missing,blind; from seismicity,"Nicholson et al., 1986; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SBRN-Del_Rosa_cross_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,05,San Bernardino,SBRN,03,Del Rosa cross fault,DRCF,01,UCSB,CFM5,,227,89,94.86,blind,llss,,missing,blind from seismicity,"Nicholson et al., 1986; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,
SAFS-MHFZ-MULT-Mecca_Hills_Hidden_Springs_fault_deep-CFM4,01,San Andreas Fault System,SAFS,03,Mecca Hills-Hidden Springs fault zone,MHFZ,00,Multiple sections,MULT,01,Mecca Hills-Hidden Springs deep fault,MHSF,01,CMDT,CFM4,,314,66,627.60,blind,orlr,,297+265+313+316+314,relocated seismicity; daylights on mapped strands,"Williams et al., 1990; Lin et al., 2007; Hauksson et al., 2012; Nicholson et al., 2010, 2011, 2012",,,,,,,,,,,,,,,,,,,,
SAFS-MHFZ-LSBM-Indio_Hills_fault-CFM4,01,San Andreas Fault System,SAFS,03,Mecca Hills-Hidden Springs fault zone,MHFZ,01,Little San Bernardino Mts,LSBM,01,Indio Hills fault,INHF,01,UCSB,CFM4,,336,87,80.73,surface,rlss,,297,Qfaults,"Bryant, 2005+updates; Nicholson et al., 2011, 2012",,,,,,,,,,,,,,,,,,,,
SAFS-MHFZ-LSBM-Berdoo_Canyon_fault-CFM4,01,San Andreas Fault System,SAFS,03,Mecca Hills-Hidden Springs fault zone,MHFZ,01,Little San Bernardino Mts,LSBM,02,Berdoo Canyon fault,BDCF,01,UCSB,CFM4,,155,78,66.32,surface,rlss,,265,Qfaults,"Bryant, 2005+updates; Nicholson et al., 2011, 2012",,,,,,,,,,,,,,,,,,,,
SAFS-MHFZ-MCHS-Painted_Canyon_fault-CFM4,01,San Andreas Fault System,SAFS,03,Mecca Hills-Hidden Springs fault zone,MHFZ,02,Mecca Hills,MCHS,01,Painted Canyon fault,PTCF,01,UCSB,CFM4,,318,88,94.72,surface,rlss,,316,Qfaults,"Bryant, 2005+updates; Nicholson et al., 2011, 2012",,,,,,,,,,,,,,,,,,,,
SAFS-MHFZ-MCHS-Mecca_Hills_fault-CFM4,01,San Andreas Fault System,SAFS,03,Mecca Hills-Hidden Springs fault zone,MHFZ,02,Mecca Hills,MCHS,02,Mecca Hills fault,MCHF,01,UCSB,CFM4,CFM4,322,80,144.68,surface,rlss,,316,CFM4 model; Qfaults,"Bryant, 2005+updates; Nicholson et al., 2011, 2012",,,,,,,,,,,,,,,,,,,,
SAFS-MHFZ-MCHS-Hidden_Springs_fault-CFM4,01,San Andreas Fault System,SAFS,03,Mecca Hills-Hidden Springs fault zone,MHFZ,02,Mecca Hills,MCHS,03,Hidden Springs fault,HDSF,01,UCSB,CFM4,CFM4,153,86,114.08,surface,rlss,,313+314,CFM4 model; Qfaults,"Williams et al., 1990; Lin et al., 2007; Hauksson et al., 2012; Nicholson et al., 2010, 2011, 2012",,,,,,,,,,,,,,,,,,,,
