name,Source/Author,Last Update,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
MJVA-JVHZ-HMSV-Homestead_Valley_fault-CFM3,HRVD,CFM3,332,90,390.53,surface,rlss,,116,,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
MJVA-JVHZ-MULT-Johnson_Valley_fault-CFM5,CMDT,CFM5,149,90,842.46,surface,rlss,,115a-b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014"
MJVA-JVHZ-SJVS-Kickapoo_fault-CFM3,HRVD,CFM3,188,90,89.34,surface,rlss,,115b,,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
MJVA-LCLZ-CLGL-Cleghorn_Lake_fault-CFM5,CMDT,CFM5,152,85,234.72,surface,rlss,,349,in CFM5-Mojave Gocad project,"Bryant, 2005+updates; Hauksson et al., 2012+updates"
MJVA-LCLZ-LDLW-Ludlow_fault-CFM5,UCSB,CFM5,329,89,794.55,surface,rlss,,346,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-LLBM-MULT-Lavic_Lake_North_West_Bullion_fault-CFM3,HRVD,CFM3,335,83,476.28,surface,rlss,,351+122d,incl. North West Bullion,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
MJVA-LLBM-MULT-Lavic_Lake_North_West_Bullion_fault_splay-CFM5,HRVD,CFM5,352,89,254.95,surface,rlss,,,part of the 1999 Hector Mine Rupture,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
MJVA-LLBM-NBMS-Bullion_Mountains_fault-CFM6,UCSB,CFM6,320,90,191.37,surface,rlss,,350,Qfaults + relocated seismicity,"Bryant et al., 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-LWLZ-MULT-Lenwood_Lockhart_fault-CFM5,UCSB,CFM5,134,85,2794.49,surface,orlr,,111a-b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
MJVA-NEMV-GRLS-Garlic_Spring_fault-CFM5,UCSB,CFM5,133,88,222.88,surface,rlss,,358,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-NEMV-RDPS-Red_Pass_fault-CFM5,UCSB,CFM5,141,83,254.72,surface,rlss,,360,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-PBMZ-EBLS-East_Bullion_Valley_Mountain_fault-CFM5,UCSB,CFM5,142,90,644.96,surface,rlss,,122c,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-PBMZ-MSQL-Mesquite_Lake_fault-CFM5,CMDT,CFM5,325,88,545.2,surface,rlss,,123,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
