CFM5.3 Fault Object Name,Num,Fault Area/Major Fault System,Code,Num_2,Fault Zone/Region,Code_2,Num_3,Fault Section,Code_3,Num_4,Fault Name,Code_4,Alternative,Source/Author,Last Update,Descriptor,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
WTRA-SBCF-WEST-Hondo_detachment_S_dip-CFM5,5,Western Transverse Ranges Area,WTRA,18,Santa Barbara Channel faults,SBCF,1,Western,WEST,2,Hondo detachment-S-dip,HNDD,,UCSB,CFM5,,84,13,564.79,blind,r,,missing,Sorlien model from MCS; CVMH,"Sorlien et al., 2014, 2016; Sorlien and Nicholson, 2015; Nicholson et al., 2016, 2017; Plesch et al., 2016"
ETRA-CLGZ-SCHS-Cleghorn_fault_steep-CFM5,6,Eastern Transverse Ranges Area,ETRA,1,Cleghorn fault zone,CLGZ,1,Southern Cleghorn,SCHS,1,Cleghorn fault,CLGF,1,UCSB,CFM5,,96,77,298.71,surface,llss,,108a,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
ETRA-CLGZ-SBMT-Tunnel_Ridge_Arrastre_Canyon_fault_steep-CFM5,6,Eastern Transverse Ranges Area,ETRA,1,Cleghorn fault zone,CLGZ,2,San Bernardino Mountains,SBMT,1,Tunnel Ridge-Arrastre Canyon fault,TRAC,2,UCSB,CFM5,,45,79,239.49,surface,llss,,326+327,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
ETRA-CLGZ-NCHS-Grass_Valley_fault_steep-CFM5,6,Eastern Transverse Ranges Area,ETRA,1,Cleghorn fault zone,CLGZ,3,Northern Cleghorn,NCHS,1,Grass Valley fault,GSVF,1,UCSB,CFM5,,82,76,178.84,surface,llss,,108b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
ETRA-NFTS-WEST-North_Frontal_Thrust_fault_lowdip-CFM5,6,Eastern Transverse Ranges Area,ETRA,2,North Frontal thrust system,NFTS,1,Western,WEST,1,Western North Frontal thrust,WNFT,1,CMDT,CFM5,,83,51,739.28,surface,r,,109a,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
ETRA-NFTS-EAST-North_Frontal_Thrust_fault_lowdip-CFM5,6,Eastern Transverse Ranges Area,ETRA,2,North Frontal thrust system,NFTS,2,Eastern,EAST,1,Eastern North Frontal fault,ENFT,2,CMDT,CFM5,,101,60,458.81,surface,r,,109b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
ETRA-NFTS-DTMT-Deep_detachment-CFM5,6,Eastern Transverse Ranges Area,ETRA,2,North Frontal thrust system,NFTS,3,Detachment,DTMT,1,Deep detachment,DPDM,1,UCSB,CFM5,,75,11,1254.44,blind,r,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
ETRA-BBFS-1992-Big_Bear_rupture-CFM2,6,Eastern Transverse Ranges Area,ETRA,3,Big Bear Fault system,BBFS,1,1992 Big Bear rupture,1992,1,Big Bear rupture,BGBR,1,HRVD,CFM2,,71,90,714.11,blind,llss,,missing,relocated seismicity,"Hauksson & Shearer 2005 (BSSA), Plesch et al. (2007)"
ETRA-SANA-MULT-Santa_Ana_fault-CFM5,6,Eastern Transverse Ranges Area,ETRA,4,Santa Ana fault zone,SANA,0,Multiple sections,MULT,1,Santa Ana fault,SANF,1,CMDT,CFM5,,96,88,896.77,surface,r,,335+339,"south dip, gocad project has n dip alternative","Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2016"
ETRA-SBMT-WEST-Waterman_Canyon_fault-CFM5,6,Eastern Transverse Ranges Area,ETRA,5,San Bernardino Mountains fault region,SBMT,1,Western,WEST,1,Waterman Canyon fault,WMCF,1,CMDT,CFM5,,98,86,283.9,surface,r,,334,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2016"
